No	sitiran 1	case	sitiran 2	bentuk	acuan	speaker 3	speaker mdl dede	speaker 2	jender 1	file 1	File 2	Kesantunan	makna kesantunan	katagori bentuk 1	Fungsi 1	Fungsi 2	Fungsi 3	Fungsi 4	katagori ProN 1	katagori ProN 2	katagori ProN 3	Pronomina Unmarked	Pronomina Inklusif / eksklusif	Formal/informal	jender kuMtul
33	yang ia miliki. kerja keras,  perjuangan dan kegighan adalah kunci popularitas yang	ia	dapatkan. 21 november 2010, agnes pun terpilih  menjadi salah satu host dalam ajang penghargaan	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 6  HM  edit  juli.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
34	ke dunia  modelling dan akting. puluhan judul sinetron dan  produk iklan pernah	ia	bintangi. wajahnya sempat  mendominasi layar kaca sinetron di beberapa stasiun tv  swasta. (	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
35	dikenal sebagai salah satu personal bening, girlsband  yang berjadi diera taun 90an.	ia	mengawali karir dari  model, lantas apa sajakah musisi yovie widianto, ia  bergabung	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
36	90an. ia mengawali karir dari  model, lantas apa sajakah musisi yovie widianto,	ia	bergabung bersama ketiga temannya sesama model  Dewi murniati, Ditasiani oktavi, dan Vera	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
37	dekade memperankan hantu  cantik dalam sinetron si manis jembatan ancol, namun  kini	ia	masih saja disapa dengan si manis oleh  penggemarnya. Diah permataasari, perempuan kelahiran	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
38	1971 lalu itu mengawali karir  keartisannya dari panggung model. lalu berbekal  kemampuan acting,	ia	menerima tawaran main sinetron.  hingga kini ia telah berperan lebih dari 20 judul	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
39	model. lalu berbekal  kemampuan acting, ia menerima tawaran main sinetron.  hingga kini	ia	telah berperan lebih dari 20 judul sinetron  dan film layar lebar. setelah berstatus	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
40	layar lebar. setelah berstatus istri Anton  Wahyu Jatmiko, praktis kesibukannya beracting  berkurang.	ia	menikmati perannya sebagai ibu rumah  tangga dengan membesarkan 2 buah hatinya, Marcelo  Niko	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 8  HM.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
41	bakat dan kemampuan bermusiknya yang besar untuk menikah diusia yang  sangat muda,	ia	kini mencoba untuk kembali mengukuhkan existensinya di  dunia musik tanah air. seperti	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 9   HM  edit 1 des.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
42	, Maia melanjutkan  kehidupan dan karir di dunia musik.      musik     . melalui sebuah audisi,	ia	memilih Dita Anggraeni yang kemudian berganti nama menjadi Meichan.       musik     . kerja keras	ia	NA	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA F 9   HM  edit 1 des.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
43	bakat dan kemampuan  bermusiknya yang besar untuk menikah diusia yang  sangat muda,	ia	kini mencoba untuk kembali  mengukuhkan existensinya di dunia musik tanah air.  seperti	ia	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	Just Alvin	JA F 9  F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
44	Kampus Biru” dan “Badai Pasti Berlalu”.  Ratusan judul film dan sinetron pernah	ia	perankan di  era tahun 70 an  hingga saat ini. Kerja keras  menjadikannya sebagi	ia	Roy M	NA	younger_male_host -> older_guest (HM < G)	older guest	HM	Just Alvin	JA M 3  HM  edit  juli.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
45	, atau dikenal denngan  nama Ray Sahetapy . tidak kurang dari 50 judul film  pernah	ia	perankan. Dimana dalam satu tahun ia biasa  membintangi  3 film  sekaligus. Menariknya, sebagian	ia	Ray S	NA	younger_male_host -> older_guest (HM < G)	older guest	HM	Just Alvin	JA M 3  HM  edit  juli.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
46	. tidak kurang dari 50 judul film  pernah ia perankan. Dimana dalam satu tahun	ia	biasa  membintangi  3 film  sekaligus. Menariknya, sebagian  besar film yang ia perankan masuk	ia	Ray S	NA	younger_male_host -> older_guest (HM < G)	older guest	HM	Just Alvin	JA M 3  HM  edit  juli.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
47	satu tahun ia biasa  membintangi  3 film  sekaligus. Menariknya, sebagian  besar film yang	ia	perankan masuk  dalam nominasi  festival film Indonesia.Saat industri perfilman mulai  surut,	ia	Ray S	NA	younger_male_host -> older_guest (HM < G)	older guest	HM	Just Alvin	JA M 3  HM  edit  juli.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
48	Langit, dan Senandung Masa Puber adalah beberapa  judul sinetron yang pernah sukses	ia	perankan.   Sementara ini ia memilih hidup melajang setelah  pernikahannya dengan Christi Jusung	ia	Hengky K	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA M 3  HM  edit  juli.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
49	Puber adalah beberapa  judul sinetron yang pernah sukses ia perankan.   Sementara ini	ia	memilih hidup melajang setelah  pernikahannya dengan Christi Jusung berakhir.       (JA M 3, 259 Alvin	ia	Hengky K	NA	older_male_host -> younger_guest (HM > G)	younger guest	HM	Just Alvin	JA M 3  HM  edit  juli.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Mt
1	perempuan itu yang menarik ya kan kalo cantik itu  relatif menurut saya,	dia	cantik ya kan tapi ada juga  yang bilang oh ini jelek gak	dia	NA	NA	older_female_guest -> younger_host (F > H)	older than Host	F	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
2	pake daster kadang ga pake baju ( SI F  10, 185 197 Lilis : bisa ditiruin sama	dia	( SI F  10, 197 206 Lilis : tapi bener mbak soimah aku kalo liat tayangan itu	dia	NA	NA	older_female_guest -> younger_host (F > H)	older than Host	F	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
3	jauh,  yang paling hebat itu soimah lo anaknya masih kecil- kecil tapi	dia	udah langsing, yang hebat tu dia bukan  kita. ( SI F  10, 328 330 Donna : yakan	dia	NA	NA	older_female_guest -> younger_host (F > H)	older than Host	F	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
4	lo anaknya masih kecil- kecil tapi dia udah langsing, yang hebat tu	dia	bukan  kita. ( SI F  10, 328 330 Donna : yakan mbak lilis ya? Logikanya gitu kan? (	dia	NA	NA	older_female_guest -> younger_host (F > H)	older than Host	F	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
5	: masih kecil mbak ( SI F  10, 449 452 Donna : iya dua smp ( SI F  10, 452 457 Donna :	dia	dari bayi punya kamar sendiri sampe hari ini  punya kamar sendiri jadi	dia	NA	NA	older_female_guest -> younger_host (F > H)	older than Host	F	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
6	, masih kecil ( SI F  10, 474 484 Nikita : kutek, kutek ( SI F  10, 484 492 Donna : ee.. sebenernya	dia	tu artis ya kan maksudnya  dalam arti kata bukan artis kayak kita	dia	NA	NA	older_female_guest -> younger_host (F > H)	older than Host	F	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
7	, pernah main film main sinetron  pernah, hanya harus sekolah dulu kan, tapi	dia	ini  jago fotografi, jago bikin vidio jago bikin film,eh  sorry jago	dia	NA	NA	older_female_guest -> younger_host (F > H)	older than Host	F	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
8	ini gak ada orang yang jelek.  Semuanya harus cantik. Yadi make over	dia	. (SI F 10,  69 HF Soimah : sudah saya siapin make up papan atas. (SI	dia	NA	NA	younger_female_host -> older_guest (HF < G)	older guest	HF	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
9	tapi tetep menjaga penampilan, sehingga  tampak seksi (SI F 10,  79 HF Soimah : siapa	dia	? Langsung saja saya panggil lilis karlina dan nikita  mirzani (SI F 10,  81 HF	dia	NA	NA	younger_female_host -> older_guest (HF < G)	older guest	HF	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
10	: aa.. (SI F 10,  183 HF Soimah : kan dirumah sendiri, orang rumah rumahnya sendiri.	Dia	dianya gak pake emang masalah buat lo (SI F 10,  187 HF Soimah : biarinn (	dia	NA	NA	younger_female_host -> older_guest (HF < G)	older guest	HF	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
11	.. ni sebelum di make over dan sekarang sudah jadi,  langsung saja.. ini	dia	.. jeng jeng, yak kita ke tengah, aduh...  cantik sekali. hahaha (SI F 10,  515	dia	NA	NA	younger_female_host -> older_guest (HF < G)	older guest	HF	So Imah SHow	SI F  10   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
12	,  montok bukan gendut yang glember (SI F  10, PH F 215 Deswita : kalo penonton	dia	itu glember nah.. (SI F  10, PH F 217 Deswita : eh jangan-jangan, eh	dia	NA	NA	younger_female_guest -> older_host (F < H)	younger guest	PH F	So Imah SHow	SI F  10  PH F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Keakraban	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	NA
13	361 Deswita : ya gimana suamikan menerima kita waktu awal  body kita gimana, ya	dia	pengen selamanya begitu  dong, walaupun punya 3 4 anak gitu (SI F  10, PH F 365	dia	NA	NA	younger_female_guest -> older_host (F < H)	younger guest	PH F	So Imah SHow	SI F  10  PH F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Keakraban	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	NA
14	di buka lo  ndoro (SI F  10, PH F 385 Deswita : loh kok tau	dia	kalo saya pake sarung? (SI F  10, PH F 387 Deswita : kan pake sarung	dia	NA	NA	younger_female_guest -> older_host (F < H)	younger guest	PH F	So Imah SHow	SI F  10  PH F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Keakraban	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	NA
15	: itu kan pulang dari sawah (SI F  10, PH F 508 Deswita : nah ini	dia	(SI F  10, PH F 510 Deswita : tohh.. (SI F  10, PH F 513 Deswita : ndoro,	dia	NA	NA	younger_female_guest -> older_host (F < H)	younger guest	PH F	So Imah SHow	SI F  10  PH F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Keakraban	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	NA
16	ini dikawinin ni ndoro ni,  ciee.. (SI F  10, PH F 531 Deswita : eh	dia	tangannya dingin banget ni, dingin banget (SI F  10, PH F 533 Deswita : balikin	dia	NA	NA	younger_female_guest -> older_host (F < H)	younger guest	PH F	So Imah SHow	SI F  10  PH F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Keakraban	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	NA
17	: karena biar nyamaiin sama pembantu (SI F 10, PH M 172 Yadi : ya gak,	dia	mah seksi (SI F 10, PH M 202 Yadi : kalo lu kayak kiong des,	dia	NA	NA	younger_female_guest -> older_host (F < H)	younger guest	PH M	So Imah SHow	SI F  10  PH M.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Keakraban	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	NA
18	mah seksi (SI F 10, PH M 202 Yadi : kalo lu kayak kiong des,	dia	kan seksi (SI F 10, PH M 204 Yadi : sabar sabar sabar (SI F 10,	dia	NA	NA	younger_female_guest -> older_host (F < H)	younger guest	PH M	So Imah SHow	SI F  10  PH M.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Keakraban	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	NA
19	, ada satu acara talkshow bareng Lyra  Virna, sahabat ia juga waktu itu	dia	segmen 1 dan dia lagi  promo album dengan pakaian yang rok pendek segala	dia	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	So Imah SHow	SI F  11   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
20	talkshow bareng Lyra  Virna, sahabat ia juga waktu itu dia segmen 1 dan	dia	lagi  promo album dengan pakaian yang rok pendek segala macam.  Trus Virna	dia	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	So Imah SHow	SI F  11   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
21	udah dapat panggilan untuk itu, jadi bukan bukan  karena Lyranya tapi memang	dia	sudah dipanggil sama Allah,  sudah dibukakan pintunya, dan tinggal disentil dikit buat	dia	NA	NA	younger_female_guest -> older_host (F < H)	younger than Host	F	So Imah SHow	SI F  11   F.txt	Kesantunan positif	hubungan simetri / keakraban	9. Pronomina (Pronoun)	2. Selama Wawancara	2. Keakraban Semu	Intimacy Marker	1. dia, ia, mereka (intimate form)	3a. Pronomina Orang.III tunggal	3. 3rd person	Pronominal Pronoun	Unmarked	NA	Formal	Ft
